fraction,reciprocity,specify
1,0.90087890625,0.33
1,0.68212890625,0.67
1,0.90771484375,0.67
1,0.7529296875,0.33
1,0.56396484375,1.0
1,0.4052734375,0.67
1,0.0966796875,0.67
1,0.72021484375,0.33
1,0.75146484375,0.67
1,0.46337890625,0.67
0.0634765625,0.1904296875,0.0
1,0.1865234375,0.67
1,0.24462890625,1.0
1,0.0966796875,0.67
1,0.90087890625,0.33
0.36181640625,0.68212890625,0.0
0.03271484375,0.90771484375,0.0
0.4580078125,0.1904296875,0.0
1,0.1865234375,0.33
1,0.56396484375,1.0
1,0.2802734375,0.67
1,0.72021484375,0.33
1,0.68212890625,0.67
0.03271484375,0.46337890625,0.0
0.0634765625,0.6240234375,0.0
1,0.37646484375,0.33
1,0.90087890625,0.33
0.51806640625,0.90771484375,0.0
1,0.18896484375,0.67
1,0.24462890625,1.0
1,0.0966796875,1.0
1,0.1904296875,0.33
1,0.37646484375,0.33
1,0.90087890625,0.33
1,0.46337890625,0.67
1,0.18896484375,0.67
1,0.6240234375,0.33
1,0.55712890625,0.33
1,0.24462890625,1.0
0.51806640625,0.46337890625,0.0
1,0.2802734375,1.0
1,0.28271484375,1.0
1,0.11962890625,0.67
0.97021484375,0.97021484375,0.0
1,0.9716796875,0.33
1,0.79150390625,0.33
1,0.81396484375,0.67
1,0.43212890625,0.33
1,0.5029296875,0.67
1,0.21337890625,0.33
1,0.4990234375,1.0
1,0.90087890625,0.33
1,0.55712890625,0.33
0.1259765625,0.3779296875,0.0
0.09521484375,0.09521484375,0.0
1,0.18896484375,0.67
1,0.0966796875,1.0
0.1259765625,0.0615234375,0.0
1,0.37646484375,1.0
1,0.11962890625,0.67
1,0.28271484375,1.0
0.83056640625,0.09521484375,0.0
1,0.2802734375,0.67
0.0205078125,0.3779296875,0.0
0.09521484375,0.77587890625,0.0
1,0.55712890625,1.0
1,0.18896484375,0.67
1,0.28271484375,1.0
1,0.2802734375,1.0
1,0.11962890625,0.67
0.09521484375,0.09521484375,0.0
1,0.0615234375,1.0
1,0.37646484375,1.0
0.7197265625,0.5966796875,0.0
1,0.33837890625,1.0
