N,R,T,M,A,$\langle d \rangle$,S_am,max,$s_a$,$s_g$
577920,0.915266023833278,3.3890138185708504e-05,0.24170507082723774,0.06671432445735745,5.3457,10000,42,0.260917463937617,0.8093807411769899
578094,0.7080375684532375,4.2007365048776336e-05,0.22814623318428737,0.06654078096868053,5.3802,10000,43,0.25655939758040613,0.7968424458541361
577909,0.9194281355551569,3.524743462547117e-05,0.24084850261385893,0.0666248506860551,5.3859,10000,41,0.2608169231239976,0.8665161815106418
578048,0.779886912605721,4.009121908224338e-05,0.2331717492759294,0.06662213853834681,5.3859,10000,41,0.25996507231671934,0.8095627202252494
577971,0.5886331809927478,0.00993370188853439,0.9240247581119424,-0.021275288422848208,7.3631,10000,201,7.7862386745118695,2.161286522502257
578218,0.4221453564085653,4.9233872158884e-05,0.21010442492359796,0.06674785013615807,5.3595,10000,41,0.25868515363207045,0.8467638685387296
578281,0.10103523623546236,6.02200931866515e-05,0.18217319163433848,0.0666433961613839,5.3783,10000,41,0.24923484992087386,0.7965880996910779
578054,0.7467993634478103,3.839230736290624e-05,0.22913273514679436,0.06684724686613654,5.378,10000,43,0.2590876045013289,0.8208727819021864
578024,0.7784196933656342,3.759843035928187e-05,0.2332605501188929,0.0668968835922391,5.3998,10000,41,0.2550808072682276,0.838261532217511
578208,0.4823756871136901,4.840179811761036e-05,0.21583405866188435,0.06656843520444107,5.361595755535149,9801,44,0.2523829727486095,0.844422658759415
578277,0.19853562020601473,5.5734031485440555e-05,0.19191137559844534,0.06654526591386528,5.3073,10000,44,0.25475876570285577,0.8153619726660709
578247,0.1945139320004285,5.722285058974845e-05,0.1900609926803503,0.06656915872304653,5.3277551020408165,9800,44,0.25962772200064954,0.8504800387899872
578134,0.26092883444609505,0.011535028042804455,0.9045552513167301,0.009884866013093891,7.46969696969697,9900,201,7.440218848507455,1.9586176050221904
578256,0.1007662632502107,5.880773756148619e-05,0.2378154379424257,0.06650965861521128,5.3672,10000,40,0.2501503050874899,0.80873835439796
