fraction, reciprocity, specify
0.2197265625, 0.0966796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.6767578125, 0.0966796875, 1.0
0.6767578125, 0.2802734375, 1.0
0.6767578125, 0.2802734375, 1.0
0.7197265625, 0.5966796875, 0.0
0.1767578125, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.7197265625, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.2197265625, 0.0966796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.6767578125, 0.0966796875, 1.0
0.6767578125, 0.2802734375, 1.0
0.6767578125, 0.2802734375, 1.0
0.7197265625, 0.5966796875, 0.0
0.1767578125, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.7197265625, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.1767578125, 0.5966796875, 0.0
0.1767578125, 0.7802734375, 0.0
0.1767578125, 0.7802734375, 0.0
0.9697265625, 0.3466796875, 1.0
0.9267578125, 0.3466796875, 1.0
0.9697265625, 0.5302734375, 1.0
0.9697265625, 0.3466796875, 0.0
0.9697265625, 0.5302734375, 0.0
0.9267578125, 0.3466796875, 0.0
0.9267578125, 0.5302734375, 1.0
0.9267578125, 0.5302734375, 0.0
0.4697265625, 0.8466796875, 0.0
0.4267578125, 0.8466796875, 0.0
0.4697265625, 0.0302734375, 0.0
0.4697265625, 0.8466796875, 1.0
0.4697265625, 0.0302734375, 1.0
0.4267578125, 0.8466796875, 1.0
0.4267578125, 0.0302734375, 0.0
0.4267578125, 0.0302734375, 1.0
0.3447265625, 0.4716796875, 0.0
0.3017578125, 0.4716796875, 0.0
0.3447265625, 0.1552734375, 0.0
0.3447265625, 0.4716796875, 1.0
0.3447265625, 0.1552734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.6767578125, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.2197265625, 0.0966796875, 1.0
0.2197265625, 0.2802734375, 1.0
0.6767578125, 0.0966796875, 1.0
0.6767578125, 0.2802734375, 1.0
0.6767578125, 0.2802734375, 1.0
0.7197265625, 0.5966796875, 0.0
0.1767578125, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.7197265625, 0.5966796875, 0.0
0.7197265625, 0.7802734375, 0.0
0.1767578125, 0.5966796875, 0.0
0.1767578125, 0.7802734375, 0.0
0.1767578125, 0.7802734375, 0.0
0.9697265625, 0.3466796875, 1.0
0.9267578125, 0.3466796875, 1.0
