N,R,T,M,A,$\langle d \rangle$,S_am,max,$s_a$,$s_g$
537560,0.11663891515480657,0.038529018766904066,0.5780760878353511,0.12173498453348826,np.mean(sp),9409,193,0.3347780282975921,1.3009845201635106
537729,0.11650162787428013,0.03682941603686334,0.5783481914519096,0.1463462575732925,np.mean(sp),9603,162,0.10780337799166087,0.5756887301095542
536551,0.285999178481735,0.0376219708285361,0.5776256145171431,0.12398128752984251,np.mean(sp),9900,205,0.4219921233941799,1.3066325007466941
537638,0.1162546210402406,0.03846928021970241,0.579893827107535,0.12257014064502272,np.mean(sp),9702,173,0.32670350537168985,1.2919083722204707
536674,0.2857648528021216,0.03710805610134114,0.5763374721516351,0.12409773950663511,np.mean(sp),10000,192,0.42921010097340856,1.3190283578120654
537721,0.1163821217776773,0.03684329223082758,0.5791103180795086,0.14606524999158765,np.mean(sp),9800,152,0.11234316338481198,0.5978392995253731
536689,0.2859972487408441,0.03555301010395396,0.5757441896178978,0.1513079228261558,np.mean(sp),10000,176,0.17729615204900492,0.5748476848333949
536793,0.28611606564427156,0.03576185775664298,0.5780094712399543,0.15128139602928084,np.mean(sp),9801,153,0.17372334542283674,0.603538864172152
535016,0.5672419591832234,0.00023818831577482208,0.38448971306639684,0.20388379286469693,np.mean(sp),9702,83,-0.19374744763950147,0.2484594137994951
534876,0.5671837912792252,0.00024076954690136794,0.38451900651569393,0.2028930290159544,np.mean(sp),9900,82,-0.19506840566099157,0.23971339158907215
533802,0.7396782294903003,0.00023290298616267236,0.38586958383941794,0.2029486248298005,np.mean(sp),9900,87,-0.15674524890852798,0.25364219355499945
534960,0.5671596695180886,0.0002423557963766761,0.3845792398955618,0.20306913387773773,np.mean(sp),9900,82,-0.19270404460497187,0.25550989896120263
533943,0.7394514849356155,0.00022997511875320965,0.3853733644673878,0.2032960631644893,np.mean(sp),10000,86,-0.15910750956581965,0.26010834651895987
537592,0.11623160198818447,0.03836105803977929,0.5785516235691468,0.12132843569338077,np.mean(sp),9702,175,0.3366685918003848,1.3542914953966925
537633,0.116468270924594,0.03692573687169957,0.5789491769102647,0.14620330261493616,np.mean(sp),9604,159,0.11474372791867989,0.5504225198865933
536621,0.2857241904047769,0.037360135462300666,0.5750745697149294,0.12410186030708317,np.mean(sp),9800,200,0.421699126450193,1.2819989981725475
537666,0.11632560793729996,0.03879517437011886,0.580830975117337,0.12103667327912403,np.mean(sp),10000,203,0.33575239139849683,1.3190547998234199
536574,0.28569221184144145,0.037306751799540946,0.57602467039381,0.12454061722458239,np.mean(sp),9801,181,0.4192504021642257,1.3296320777133892
537703,0.11647047634275506,0.03692557946727044,0.5795603991011431,0.14580560760086114,np.mean(sp),9800,164,0.10920725651315233,0.5822973242613934
536759,0.2861301251850484,0.03573110397329966,0.5757022210634546,0.15107874726781,np.mean(sp),9800,144,0.17958144110797628,0.5594872099829886
536758,0.28581929906297293,0.03568418478477392,0.5774305281659765,0.1514209594583701,np.mean(sp),9900,158,0.17586876493581619,0.5780298318998818
534879,0.567282345903298,0.00023744087509125562,0.3845288592797554,0.2034951894820606,np.mean(sp),10000,84,-0.19441647713584495,0.2474643210418447
534916,0.5674092952861943,0.00023806691033128168,0.38455316095407843,0.20341623687913776,np.mean(sp),9900,82,-0.1925277424407728,0.2519425033285135
533777,0.7395561044596312,0.00023017108465690783,0.3858090588421313,0.20274174263555503,np.mean(sp),9801,85,-0.15548944993819128,0.25518595193887694
534949,0.567139958593274,0.00024088978902181866,0.3846366419220668,0.20283566886197538,np.mean(sp),9702,82,-0.19297891272024878,0.25320478052490797
533770,0.7394969716851876,0.00023137563470287722,0.38579632197571195,0.2029923587420604,np.mean(sp),9900,81,-0.15728435030490326,0.2384481151077916
534794,0.5672710431352225,0.00023833581417776972,0.3845198250212414,0.20312850159119866,np.mean(sp),9900,81,-0.19146188149058307,0.23395311198675126
533801,0.73967767813576,0.00022938139272331507,0.3857753170871957,0.20330144083598556,np.mean(sp),9900,86,-0.1584219909557984,0.22298127916785457
533849,0.7393562384387845,0.00022939252258221592,0.38580088389003087,0.20288544743725018,np.mean(sp),10000,85,-0.15723875907132323,0.23984760849688913
536351,0.3475135288620318,0.0346294538209864,0.5761780063566875,0.165074693629017,np.mean(sp),9600,140,0.10469656914683917,0.2917124591500072
536448,0.3478313847544956,0.03493145156298305,0.5771880643566738,0.16220931100833494,np.mean(sp),9702,141,0.11310229162866503,0.3269635256900865
535200,0.5188986417380901,0.03403191828536061,0.5764079070434636,0.16423107639681528,np.mean(sp),9801,153,0.16648630378172646,0.3029499793030354
536517,0.3299080891981375,0.0002568302419534426,0.38274862865149367,0.2031766071630661,np.mean(sp),9900,87,-0.24371952691998336,0.23209258739033342
535244,0.5038863603157057,0.000242175178015034,0.3839855531257506,0.20294739680312948,np.mean(sp),9800,82,-0.20585007541304987,0.2556236701947641
536473,0.32984551045781724,0.0002574310262426586,0.3826667061461735,0.2034321736898209,np.mean(sp),9800,82,-0.2441115416443011,0.22252062846058657
535245,0.5186571484494532,0.033991094958347186,0.5755052106923767,0.1607158866263432,np.mean(sp),9800,148,0.18536571943614513,0.35496985028984623
535429,0.5038723007749288,0.00024217772125049444,0.3840189740096151,0.20295759342744574,np.mean(sp),9801,85,-0.20548809895509187,0.23030583703458063
533436,0.7983642689176634,0.00022536884656036523,0.386266025860559,0.20328002986451985,np.mean(sp),9900,85,-0.14488054177711046,0.27742348550956475
533545,0.798417198953529,0.00022535622850271603,0.38623245668797346,0.20268627234814143,np.mean(sp),9900,83,-0.1438356350073285,0.23961962892289196
538152,0.028885464364577677,0.00028348603259657946,0.38078710036716445,0.20313478914152958,np.mean(sp),9603,88,-0.3084761754066272,0.21687652526091078
533291,0.8098798598456759,0.03548535579896975,0.5744355706289322,0.11961519960644777,np.mean(sp),9900,155,0.5258066385213277,0.8455398543186435
538071,0.05527963323895981,0.03783100468806917,0.579506412360929,0.13396313835712917,np.mean(sp),9604,190,0.15919190249410034,0.8357871795796463
533161,0.809938027749674,0.03554079265598216,0.5728115296930745,0.11507845828103867,np.mean(sp),10000,181,0.5571372145841975,0.9088420455875298
538252,0.02904852746986158,0.0002833521824631597,0.38060735547286045,0.20328617977161126,np.mean(sp),9408,86,-0.3095759944145667,0.2581364750558105
537992,0.05532760108396303,0.03787373623891918,0.5785780157655936,0.13202614869047188,np.mean(sp),9702,185,0.17936732369848563,0.8766019747688443
535600,0.4486172028130109,0.00024830026433297626,0.38379177129267233,0.20309207642846244,np.mean(sp),9700,84,-0.21857241802593078,0.24891950134746274
535711,0.44863953267189166,0.00024561926927918915,0.3836789082217403,0.20353468055577492,np.mean(sp),9702,85,-0.21982545222305705,0.23872367421881427
537472,0.14822932489393317,0.0002727487114428725,0.381569164399566,0.20324545644784367,np.mean(sp),9801,80,-0.2825723555337619,0.25598409015577955
535620,0.4640039918068715,0.03600944370821577,0.5759391845270645,0.1288590682307774,np.mean(sp),9800,178,0.4250483035795591,1.02176202518137
537255,0.17031851751791213,0.03739278790314604,0.5761489932323708,0.1311889102192148,np.mean(sp),9700,172,0.2816666488311596,0.9902521157906881
537571,0.1164653763132576,0.038543785791603336,0.5793433449991005,0.1209524434132281,4.6896969696969695,9900,192,0.3340462165598187,1.2993771070002067
