N,R,T,M,A,S,S_am,max,skew_a,skew_g

538065,0.7380314516776324,0.2915064792363581,0.9084226065996414,0.3085782796812811,8.175590367079728,8554,2013,10.51955358748521,2.768778112569677
573762,0.06387270910319193,0.058044685208451324,0.8931787453999661,0.056337059174665985,8.991157945736434,8256,2092,15.072729623384019,17.47319750735451
571374,0.1628491312302661,0.060115187324008265,0.8832024228318702,0.2140449681661878,7.51754981884058,8832,4334,23.342527165713115,4.080843739886328
504162,0.8324578528552713,0.19954309867259504,0.8956246947025975,0.008169369868029158,6.56830533596838,8096,6471,22.72868927984347,1.752720249934668
554715,0.7860211513429269,0.18847897707552191,0.8993190638683549,0.2675934566391748,8.161718192021223,9801,503,4.999733908864731,1.4876762812759212
545637,0.7821774817341016,0.22776197896539943,0.9098619634296204,0.22815710459314084,7.669924812030075,9310,2208,12.109290333440319,3.047290772754747
574424,0.16818119415605914,0.06407981818885107,0.8955364341673546,0.09962461939071578,8.55547112462006,9212,1625,13.680520679114364,3.1543790423343525
575106,0.10985648537293613,0.12091656045386091,0.35879532967470584,0.1271678316597854,5.8802210649378255,9409,194,1.8743853742039749,1.8362766358236657
572299,0.8553408207233277,0.13874575950101728,0.4223235446736641,0.15527983789564265,5.6156,10000,89,1.0692087850945162,1.522662364389352
549034,0.7412516918844785,0.24138400974784813,0.899321563749492,0.31566102357459336,8.534757653061224,9408,567,5.097606191685132,1.4905629930322528
574128,0.1679575981562513,0.06334486979776661,0.8961686143716452,0.09609013529699251,8.412817028985508,8832,1696,13.81420220340553,4.4729507410782094
576985,0.11207345728999558,0.08104310491015057,0.25187068085699654,0.08262310533196857,5.579595959595959,9900,120,1.3840427301972704,1.4613271811380968
566481,0.8912637476931079,0.18441273279525278,0.5037188956188714,0.1841736341396524,5.581836734693877,9800,105,1.3597966101428896,1.6590330914544689
577078,0.7846686883940214,0.022774343181379365,0.9267723355591332,-0.021469133571531174,8.0079,10000,1126,26.633131189828973,1.0031951667198709
567490,0.8552911714953767,0.17691728180552577,0.4895724999711903,0.1755850663998686,5.638484848484849,9900,106,1.3005427093823814,1.5563643474661255
576986,0.11201805995210044,0.08097964914268686,0.25159965577938026,0.08403240640674435,5.664514785506039,9604,118,1.3857036204225859,1.4459049042096768
570934,0.7490138217064036,0.1542511437212263,0.4480862239526833,0.16216202839768706,5.555034884931792,9603,98,1.185995764269436,1.462286668710122
574197,0.16800993176017942,0.06412063560392477,0.8937223013474797,0.09090925471439991,8.32168883747831,8645,1706,13.452957860046316,3.332500359114445
571591,0.8916297511131127,0.1442617457648698,0.43340046362237444,0.16021310830256255,5.5618,10000,103,1.088561564903751,1.6939874748602368
572857,0.06215794354468911,0.05938024609200904,0.8896765588581719,0.062008259097176305,8.906204906204906,8316,2358,15.180695363308002,9.744285812324229
565427,0.7933330468378819,0.20031773407968734,0.5194542643533467,0.18541647292975244,5.702959183673469,9800,125,1.4532139432316173,1.7084523814285812
553322,0.9000661636782937,0.18200644309391428,0.9003865120519401,0.3083317902997743,8.116722199083716,9604,499,4.363159910297739,1.4678663474310405
536933,0.8881617327701705,0.2891605875496198,0.9066617833162239,0.401272324262996,8.84729381443299,9312,423,3.854600481657047,1.4156547374228827
565400,0.7924329403899645,0.19995959732791682,0.517806597679208,0.1797483678783192,5.7296969696969695,9900,113,1.4403005050129083,1.6461402125214126
550479,0.9169402341496264,0.19668372690223934,0.9030750882813593,0.3087886206080766,8.915816326530612,9800,449,4.293723808840773,1.4825967442828887
544404,0.7759994595104154,0.264126435441923,0.9002168240747973,0.3509519472459183,8.555451421430803,9603,573,4.635854735171692,1.4036100114431351
566293,0.891024549883316,0.1835864779931267,0.502298821527865,0.18283828977931063,5.7142,10000,113,1.3541130514927657,1.7250475554297187
574513,0.23039052465722334,0.12713025747177142,0.3757023522047675,0.13856054335477078,5.552626262626263,9900,127,1.6102866215530525,1.5633708261096646
577446,0.17503720697846467,0.030025117642183657,0.9171071137992586,0.005142217702039778,8.591237113402062,9700,1887,27.792825388808833,6.442352700654913
576471,0.7926677426488304,0.08969399649082097,0.32278742490419815,0.1165013869463387,5.4863,10000,74,0.7643531088793531,1.2681023117290955
536484,0.7864192620349664,0.3276822708554847,0.9054157114159878,0.41015785554138545,8.701906028368795,9024,472,4.440087838758043,1.3573456176686376
570193,0.7635682961474938,0.17593450198598912,0.5081613180627466,0.1627247235852316,5.603814432989691,9700,137,1.6966595447116146,1.565990512452826
576190,0.533140334766919,0.12093728560385114,0.40517112602916283,0.13695876040618185,5.524640342822161,9801,105,1.2893539641943863,1.5991127447091662
577125,0.5503104776084552,0.09578234577613755,0.37880431856017355,0.12713720702029324,5.4636,10000,104,1.3180489249093907,1.6851456145580748
577050,0.04182980704714781,0.09772271819028878,0.3061289361641068,0.12852407143939207,5.739822467095195,9801,116,1.4747275123150845,1.5030729094918804
573455,0.049552541522019294,0.06057202114147493,0.8877535372796149,0.04073496919094934,9.04040404040404,9108,2379,17.696832895851504,16.53124759980419
577388,0.4370608661557028,0.03461089924858284,0.9108255220622127,-0.004873648929822005,8.182430364248546,9801,1376,21.571438938940666,2.1347028952788065
572913,0.47362658365849036,0.14069148547361685,0.4251420764703087,0.14928609474976126,5.544603408373659,9506,117,1.3945182766014879,1.3984677678131334
568959,0.687122792704456,0.16977615866694773,0.49085086696598806,0.1586593971422643,5.4968763015410245,9604,152,1.5706834239633054,1.4870698226917198
573265,0.6524938767500941,0.15190788001987005,0.4624630726237086,0.14817705329938935,5.531515151515151,9900,115,1.4767847879568818,1.4168179372179344
574502,0.47421551656075517,0.13332067625043312,0.4138796631512548,0.145408699028185,5.506122448979592,9800,122,1.3243624893357038,1.35255482446294
577687,0.20829119513968786,0.010524232122511062,0.2165098134447047,0.07387571296427996,5.3112,10000,89,0.9016861444470275,0.9220830970334872
577561,0.05787993739178127,0.02866466298897897,0.9230616294814267,-0.021740943764632564,9.311396796245281,9801,2123,29.430241228116735,20.75042185406216
572887,0.4734977724768576,0.14044549557057207,0.423972207573825,0.14734640908458937,5.555,9600,122,1.3839950062181,1.4524024037930265
574486,0.47416091534633265,0.13356727058263362,0.41435924992252277,0.14264144789988814,5.54010101010101,9900,107,1.3188134913173304,1.3964272868465657
568302,0.6508390935083946,0.13113826231717915,0.8913715070925363,0.19386404733615117,8.454273362154971,9021,755,6.684393032568376,1.49385276996379
577412,0.14265673553461533,0.07670412913813278,0.285675475187396,0.12790876367225107,5.4794,10000,82,0.9867666603054742,1.468950705753346
575131,0.722939189193608,0.1451353524723245,0.46547967506026344,0.15560014322403776,5.742424242424242,9702,139,1.625974966586322,1.5229423378384017
