N,R,T,M,A,S,S_am,max,skew_a,skew_g
558008,0.11293875674058085,0.12123308586364145,0.679273040055676,0.38618096212807684,8.354572713643178,8004,516,4.0050198399734995,1.6568713617536814
564537,0.26751301756771323,0.09579341050674599,0.6703030791626299,0.4890726918941163,8.174216439976345,8455,112,2.857415042111024,1.3217211136327907
538406,0.8724290687070106,0.13855239005652356,0.7229923483414398,0.5301366654017404,8.307389686337055,9405,88,2.531940336458294,1.2282830922663586
561409,0.1727736464234136,0.10892078784960489,0.6782322672755982,0.45401918431933125,8.118529632408102,7998,145,3.2944734702509497,1.6071607270182395
536332,0.7892942661848579,0.17614409523803476,0.731407907516861,0.5150258317680434,8.186592797783934,9025,96,2.689081717061506,1.193017664953978
568303,0.8165097699959409,0.02084578192048434,0.6585306116466656,0.6257240229892448,7.355729166666666,9600,77,2.1635211040350675,0.6388870975553913
567309,0.1131781957011839,0.08272229870357423,0.64978525361573,0.46404946239578193,7.779328165374677,7740,156,2.936539640191049,1.2776106040374142
564171,0.2670211908790589,0.09554094896269566,0.670044189945033,0.4898492264444278,8.039241769205187,9021,112,2.842045762183151,1.270707252628957
526276,0.9126845184772208,0.1832889639932671,0.7399124601449343,0.5084933571055096,8.174911268855368,9016,118,2.7948299706586464,1.334993653136759
567096,0.11314698130093492,0.08278869159686807,0.6502644591079915,0.46709679142486743,8.06929347826087,8096,137,2.8902476766537806,1.2702753838252034
535581,0.8205575031482931,0.17574671741179895,0.7306429226295201,0.51641556080757,7.897760358342665,8930,104,2.67038787554928,1.3069546987120413
535967,0.9493964919083839,0.15847857684472919,0.7283347386067247,0.5319017105427255,8.186087338161071,9114,95,2.585869883146398,1.1797323155133932
528766,0.8740254165322334,0.17687965891631297,0.7368931162712551,0.5085502080485277,8.188865398167724,8514,102,2.721576846038429,1.320752929276292
559710,0.17123708582842806,0.11613394652064765,0.6816830183281273,0.4379629688884237,8.240747757989137,7917,331,3.4918009984790688,1.5646824829024626
537068,0.7624534548603639,0.1541883529829868,0.7261760322023159,0.5070712426802622,8.097699155971789,8649,117,2.6736890848061967,1.2660353858480151
536458,0.9121321055947349,0.14311996702378282,0.7250906705783062,0.5268036160162661,8.031224489795918,9800,90,2.558448208137527,1.2007024054009727
538802,0.9331551522590847,0.1501259963743133,0.7233154603298413,0.535955847622336,8.30319587628866,9700,83,2.5403414589565756,1.2722882049964124
575546,0.2694323529435146,0.027931973589091615,0.6312813865222041,0.6076605472013906,7.744246589607414,9603,80,2.1937848275945053,0.641314766716934
533120,0.820388266223355,0.19050532459283193,0.7351259842489251,0.5091134881475952,7.96715755025713,8556,111,2.744932327416979,1.2830797604277546
526130,0.8093793224822701,0.19695793185856508,0.74091714121475,0.4872712193085321,8.426384839650146,9604,114,2.8743485592929408,1.2976489790618198
