N,R,T,M,A,S,S_am,max,skew_a,skew_g
512894,0.029071717074646303,0.026531992250479627,0.7256621521115939,0.25319690165703196,10.638577586206896,4640,531,6.581925077183269,3.0924311602878567
536953,0.03638233071366713,0.01984019455222947,0.6943974752527294,0.42986266788241634,10.808947368421052,5700,113,3.9497594611157556,1.491849064986916
510866,0.2677093612275802,0.022817145659030036,0.7354137516025214,0.42963205796327847,10.671794871794871,5850,95,3.682813893604602,1.2277657680124343
525578,0.2687939042694109,0.015616377398076052,0.7168023776355317,0.4518653380361084,10.647003598810828,6391,87,3.6903836593679693,1.1166740560744122
552239,0.08501907167497684,0.002888460490207135,0.6712901123998128,0.4722793856461859,10.399470899470899,6048,91,3.9746842804940528,0.9337080652222143
534700,0.015517847794128374,0.02521643046125891,0.7075204243258939,0.4319924728462236,11.101680384087791,5832,97,3.529931730885687,1.3473555511175404
543678,0.012654351988957617,0.004759693809401908,0.6770957028958949,0.423029394036722,11.00969387755102,5880,164,4.473155254646953,2.7327877024756164
526140,0.0809018551471159,0.025922288290780603,0.7205288406520822,0.4149735423973367,10.705785667324129,6084,155,3.7882395721641147,1.415906420743287
538802,0.03624080043558693,0.020187754166550522,0.6849601885887595,0.44433219035185023,11.310521955260977,6035,86,3.6815549393177656,1.2021974217877016
551561,0.09392185496798118,0.0028663850892034384,0.6813284030710933,0.47243866309729843,10.84985465116279,6880,95,4.0101236084451655,0.9945504043676588
517872,0.2901809220746516,0.01843973527992334,0.731298830758811,0.44476658083603027,10.955473098330241,6468,84,3.603484923223129,1.025929417003225
522427,0.19977584814793206,0.02128213974386071,0.7165040905574106,0.4436559479347946,10.730726464047443,5396,89,3.5484393477157568,1.0762683664254507
526373,0.2496835418510038,0.0162520074702254,0.7156766518723408,0.45212118430467013,10.753415637860082,6075,86,3.712855134121589,1.054013145480802
533529,0.09600955976968169,0.01892369733128239,0.7115177923498849,0.4380204159901144,10.736242266362748,6142,113,3.9288763784909717,1.3605540276314891
512665,0.2661399420177448,0.022361131073450037,0.7341349155969105,0.43886402093260063,10.7095010252905,5852,81,3.4931974177927487,1.1474718346161816
