N,R,T,M,A,S,S_am,max,skew_a,skew_g
523234,0.8374982724365163,0.10709667649461559,0.4220639929351096,0.15016817175712255,4.5402903429413,9506,237,1.422347268264768,1.3485674197974162
528728,0.6104028528138802,0.07554881746239787,0.5252988272679333,0.14461712063652515,4.509944808913881,9603,206,1.1379842341552584,1.35208338645359
529453,0.06060544561286667,0.07567875983011067,0.4821118337458469,0.09878964784464817,4.666881581775199,9306,629,2.632760236993704,2.649369021194301
531191,0.6475821100317608,0.048663022311039625,0.40757839167465704,0.1405749538901985,4.41979797979798,9900,148,0.7273934158115634,0.8930544067874328
531235,0.04824366915545201,0.04513702679361827,0.39221294011118035,0.09997104167900835,4.523313947556372,9801,350,1.7408117390258002,1.706555997778662
534173,0.539010026507653,0.050130962947567935,0.5479872945000526,0.1271795679960158,4.468282828282828,9900,198,1.1338110471017144,1.5233809214291392
523519,0.5227508547920409,0.1117496954045519,0.5674938566536999,0.16604752132641618,4.603695408734603,8930,293,1.683677076545129,1.8243071017470016
522457,0.5191183048299323,0.11967517686317856,0.5925502839193693,0.1713905222522451,4.55691142436356,9506,342,1.8654656741795936,2.208432463285634
519374,0.7478081512740168,0.1421838548883466,0.5954181061299951,0.16812026068603783,4.698545375597047,9212,270,1.6124994469199216,1.6986221501094165
526465,0.7197640999593533,0.08283127194269785,0.39193127802415534,0.13563190994472776,4.497159688617715,9506,219,1.233078763455538,1.1799526849590798
