fraction,reciprocity,transitivity,specification
0.2197265625,0.0966796875,0.5185546875,0
0.3134765625,0.9404296875,0.0009765625,0
0.8017578125,0.6552734375,0.6435546875,0
0.2197265625,0.0966796875,0.5185546875,0
0.3134765625,0.8740234375,0.0009765625,0
0.8017578125,0.6552734375,0.2822265625,0
0.6767578125,0.0966796875,0.5185546875,0
0.7080078125,0.9404296875,0.0009765625,0
0.5947265625,0.2216796875,0.3935546875,0
0.2197265625,0.2802734375,0.5185546875,0
0.7080078125,0.8740234375,0.7998046875,0
0.0517578125,0.2216796875,0.3935546875,0
0.7080078125,0.8740234375,0.0009765625,0
0.2197265625,0.0966796875,0.9072265625,0
0.5947265625,0.9052734375,0.3935546875,0
0.4384765625,0.3154296875,0.6748046875,0
0.2197265625,0.2802734375,0.9072265625,0
0.5947265625,0.2216796875,0.0322265625,0
0.5830078125,0.3154296875,0.6748046875,0
0.6767578125,0.0966796875,0.9072265625,0
0.5947265625,0.9052734375,0.0322265625,0
0.4384765625,0.9990234375,0.6748046875,0
0.6767578125,0.2802734375,0.5185546875,0
0.0517578125,0.2216796875,0.0322265625,0
0.4384765625,0.3154296875,0.3759765625,0
0.0517578125,0.9052734375,0.3935546875,0
0.6767578125,0.2802734375,0.9072265625,0
0.4384765625,0.9990234375,0.3759765625,0
0.0517578125,0.9052734375,0.0322265625,0
0.7197265625,0.5966796875,0.0185546875,0
0.5830078125,0.3154296875,0.3759765625,0
0.0947265625,0.7216796875,0.8935546875,0
0.1767578125,0.5966796875,0.0185546875,0
0.5830078125,0.9990234375,0.6748046875,0
0.5517578125,0.7216796875,0.8935546875,0
0.7197265625,0.7802734375,0.0185546875,0
0.5830078125,0.9990234375,0.3759765625,0
0.0947265625,0.4052734375,0.8935546875,0
0.7197265625,0.5966796875,0.4072265625,0
0.0947265625,0.7216796875,0.5322265625,0
0.9384765625,0.8154296875,0.1748046875,0
0.7197265625,0.7802734375,0.4072265625,0
0.0830078125,0.8154296875,0.1748046875,0
0.0947265625,0.4052734375,0.5322265625,0
0.1767578125,0.5966796875,0.4072265625,0
0.5517578125,0.7216796875,0.5322265625,0
0.9384765625,0.4990234375,0.1748046875,0
0.1767578125,0.7802734375,0.0185546875,0
0.5517578125,0.4052734375,0.8935546875,0
0.9384765625,0.8154296875,0.8759765625,0
0.1767578125,0.7802734375,0.4072265625,0
0.5517578125,0.4052734375,0.5322265625,0
0.9384765625,0.4990234375,0.8759765625,0
0.9697265625,0.3466796875,0.7685546875,0
0.0830078125,0.8154296875,0.8759765625,0
0.0634765625,0.1904296875,0.0498046875,0
0.9267578125,0.3466796875,0.7685546875,0
0.0830078125,0.4990234375,0.1748046875,0
0.4580078125,0.1904296875,0.0498046875,0
0.9697265625,0.5302734375,0.7685546875,0
0.0830078125,0.4990234375,0.8759765625,0
0.0634765625,0.6240234375,0.0498046875,0
0.9697265625,0.3466796875,0.1572265625,0
0.0634765625,0.1904296875,0.2509765625,0
0.6884765625,0.0654296875,0.9248046875,0
0.9697265625,0.5302734375,0.1572265625,0
0.0634765625,0.6240234375,0.2509765625,0
0.8330078125,0.0654296875,0.9248046875,0
0.4580078125,0.1904296875,0.2509765625,0
0.9267578125,0.3466796875,0.1572265625,0
0.6884765625,0.2490234375,0.9248046875,0
0.4580078125,0.6240234375,0.0498046875,0
0.9267578125,0.5302734375,0.7685546875,0
0.6884765625,0.0654296875,0.6259765625,0
0.4580078125,0.6240234375,0.2509765625,0
0.9267578125,0.5302734375,0.1572265625,0
1,1,1,0
