N, R, T,M, A, S,S_am, max, skew 
537610, 0.11618239359546566, 0.037757379113283564,0.5786412069123303, 0.1270719335573045, 4.573979591836735, 9800, 209, 0.26636015617433495 
537655, 0.11625834268338742, 0.036793129588457055,0.5785851755976897, 0.14373174869995958, 4.5782, 10000, 167, 0.125433915619096 
534197, 0.6554253286762253, 0.0357659981687221,0.5745250406230406, 0.1149944491220788, 4.510606060606061, 9900, 163, 0.5655900730771269 
534156, 0.6552512384801361, 0.0357199114114592,0.5751673562254807, 0.11496202382551632, 4.6052, 10000, 187, 0.5684717230955041 
537629, 0.11651554957642188, 0.03675822353102298,0.5793349718778423, 0.1436947516433024, 4.606428571428571, 9800, 173, 0.1251790074957548 
534232, 0.6552182950463551, 0.034616113390953565,0.5736003979206463, 0.1395454908340826, 4.5642, 10000, 177, 0.36432513994728083 
534807, 0.5805056196811517, 0.034135498158067885,0.5756955852257143, 0.15427517035005067, 4.59939393939394, 9900, 140, 0.24668741245783105 
534591, 0.5806744720091084, 0.03722142807560494,0.5756653765060711, 0.08412506975676384, 4.582424242424242, 9900, 267, 0.9201972113446493 
537307, 0.1903147683070383, 0.03588674593146294,0.5771367159674949, 0.15443901842939575, 4.553737373737373, 9900, 177, 0.09518934825462548 
537375, 0.19029505738222377, 0.03581219101002452,0.5769071722886187, 0.15454772686054313, 4.499595959595959, 9900, 174, 0.09180991427306998 
534575, 0.5805672335510265, 0.037361871680308335,0.5754648481699939, 0.0837514294934636, 4.468686868686869, 9900, 235, 0.913997735985035 
537123, 0.18966789159267028, 0.0387038317609138,0.5767697267163497, 0.10219060656418126, 4.61205808080808, 9504, 292, 0.6049304561907897 
536438, 0.3479444124352503, 0.03440063286313725,0.5763016593285576, 0.16681126313448993, 4.561065197428833, 9801, 153, 0.08512728014246589 
536383, 0.3480141587845941, 0.03485905991095493,0.5763121375199085, 0.15965750625844044, 4.526122448979592, 9800, 140, 0.1336927510998395 
532988, 0.8552661250527233, 0.03365640810057272,0.5713645116438076, 0.15638769735974484, 4.4855, 10000, 138, 0.269702760390501 
533008, 0.8552985171319639, 0.033631651527336145,0.5717585158914121, 0.15648656606659578, 4.544897959183674, 9800, 129, 0.2652223670210472 
536324, 0.34765122965846346, 0.03484013852341136,0.5761024235393734, 0.15907103237369016, 4.5391, 10000, 150, 0.13632344314188113 
532960, 0.8551937597693132, 0.034170315043536625,0.5715870468511182, 0.1452325511220756, 4.5379, 10000, 156, 0.3390356947051376 
533302, 0.8099909577855396, 0.03501465892262508,0.572328091970737, 0.12808307311646108, 4.5067, 10000, 151, 0.45963155960543445 
533279, 0.8100175606421075, 0.03589855077705816,0.5719888316034221, 0.1090727494076996, 4.5343, 10000, 173, 0.6131087455709164 
535864, 0.42211152248285977, 0.035287229371265265,0.5759741289039387, 0.14557073376729338, 4.511122448979592, 9800, 170, 0.27829056905920724 
535684, 0.42209636023300245, 0.03528172106085601,0.5759675923241648, 0.14457542553536074, 4.5272108843537415, 9702, 165, 0.27866362053976274 
533182, 0.8099844793696915, 0.035950563685309085,0.572863129819225, 0.10884000410667893, 4.48929292929293, 9900, 150, 0.6096016993835628 
535767, 0.42195521347069415, 0.03599289634931582,0.575647742121943, 0.1315272369693342, 4.559512652296157, 9603, 178, 0.39576619183313066 
535578, 0.463949132030115, 0.03551246694716264,0.5761739825290147, 0.13562568433847558, 4.526170798898072, 9801, 168, 0.3641978046482597 
535527, 0.4641407277328577, 0.03642890707049081,0.5752244665083278, 0.11698540286866584, 4.641465156616672, 9801, 212, 0.5314382592427964 
536606, 0.3059507695530996, 0.03618126940637604,0.5762567445968717, 0.1392592923947896, 4.585589337775927, 9604, 204, 0.2832304520884419 
536566, 0.3059087287694042, 0.03621412563078307,0.5762493643667965, 0.13877878940696103, 4.545250484644424, 9801, 171, 0.28411489511331045 
535424, 0.4638939965760883, 0.03644762748003126,0.5755661443875538, 0.11728508864707753, 4.5756, 10000, 204, 0.5375093571361221 
536655, 0.30576785768436604, 0.03712663931262393,0.5760408842047987, 0.12288766964135191, 4.55902458932762, 9801, 189, 0.4386266116252333 
533027, 0.8552690196640597, 0.03401078415550176,0.5717771592360428, 0.15027591318904354, 4.5234, 10000, 144, 0.30949786300750676 
532998, 0.8552126436623174, 0.03458645386705846,0.5713937091674661, 0.13718360138527663, 4.47, 9800, 146, 0.3935317512682639 
533602, 0.77096511855501, 0.03382854847101178,0.5734945641000105, 0.15295984780627292, 4.55050505050505, 9900, 141, 0.2758213796139617 
533587, 0.7708247988245122, 0.0338403293722499,0.5734255540347891, 0.15339262630533274, 4.4919, 10000, 159, 0.27954495496082693 
533027, 0.8552575790573491, 0.03450387347825718,0.5714487671591422, 0.13768727353139096, 4.486262626262627, 9900, 150, 0.3925226001635426 
533554, 0.7708744207331362, 0.03438470321104269,0.5725690367779507, 0.14195657128868888, 4.510909090909091, 9900, 150, 0.35556415910035377 
537037, 0.2319057845361592, 0.03589715739739194,0.5765550672478539, 0.15102881296817117, 4.622595387395047, 9409, 163, 0.14838244021338212 
